driverId,name,ssn,location,certified,wage-plan
10,Robert Sellers,875-76-8962,"1102 Nicole Estate Apt. 554
West Thomas, PR 50524",Y,hours
11,James Garcia,546-66-5369,"549 Grace Mission
Delgadobury, AR 99718",N,miles
12,Alison Wilson,623-24-0247,"593 Melissa Unions Suite 744
Pattonland, SC 43558",Y,miles
13,John Hahn,563-52-2048,"Unit 7602 Box 4845
DPO AA 54484",N,hours
14,Kimberly Vaughn,137-03-4313,"379 Rivas Plain Suite 240
Erinmouth, AZ 88150",N,hours
15,Mark Bright,550-67-1089,"988 Jennifer Lock
South Diane, NM 25348",N,miles
16,Pamela Rodriguez,731-80-7289,"26119 Adams Plaza Suite 231
Port Peter, OH 37789",Y,hours
17,Karen Vazquez,773-82-7723,"17803 Mcbride Crossroad
Comptonshire, ID 26326",N,miles
18,Thomas Hansen,653-10-8869,"259 Whitney Drive
Williamsberg, NY 49408",Y,hours
19,Anna Krueger,190-02-2813,"797 Allison Forest
Alvarezfurt, ID 11032",N,miles
20,Laura Sheppard,079-80-8405,"3659 Kelly Canyon Apt. 794
North Elizabeth, AZ 30677",Y,hours
21,Katherine Martin,125-98-0921,"560 Dana Alley Apt. 604
Sandersshire, MA 78184",Y,miles
22,Nancy Huffman,691-11-0867,"1463 Terry Junction Suite 164
Fernandezchester, NC 21114",N,hours
23,Raymond Henry,861-82-8327,"868 Sandra Junctions Apt. 283
Snydermouth, TX 49734",N,miles
24,Carolyn Davis,285-42-0506,"358 Cheryl Manor
Gonzaleztown, AR 58972",N,miles
25,Savannah Smith,864-21-9503,"90293 Angela Run
Edwardsville, TX 27191",N,miles
26,Emily Allen,013-48-2289,"907 Mckenzie Lake
Cunninghamtown, WI 73932",N,miles
27,Carl Mccormick,822-19-7181,"87432 David Lock
Moralesmouth, WV 06109",N,hours
28,Steven Pierce,706-46-7878,"9190 Roberts Centers Apt. 140
Shawberg, MA 86294",N,hours
29,Antonio Bailey,334-62-6312,"410 Edward Road Suite 379
Josephburgh, MS 98344",N,miles
30,Sydney Tyler,422-38-7074,"3784 William Summit Suite 118
West Thomasshire, KS 04555",N,hours
31,Susan Kirk,419-75-9365,"431 Theodore Viaduct
South Josephton, HI 01112",N,hours
32,Molly Blackburn,603-49-6661,"910 Phillips Circle Suite 208
South Beverlychester, GA 39498",Y,hours
33,Brian Graham,312-15-3600,"01240 Lowe Streets Suite 250
Gibsonbury, MI 48800",N,miles
34,Elijah Weaver,114-35-0354,"06018 Jones Lodge
Nguyenstad, CO 12309",Y,hours
35,Angela Contreras,072-19-8148,"44742 Mark Land
South Roberto, PW 64411",Y,miles
36,Joseph Costa,521-21-6486,"760 Mclean Springs
Bryanmouth, MD 03472",N,miles
37,Molly Jones,328-89-2931,"386 Thompson Knoll Suite 462
East Charles, SD 28937",Y,miles
38,Eileen Brandt,560-54-9366,"7340 Heather Stravenue Suite 205
Robertsstad, MH 69959",N,hours
39,Tamara Wolfe,356-99-9523,"022 Martin Junctions
Smithton, KS 43940",N,miles
40,Joseph Thompson,750-04-4028,"03328 Stacy Extensions Apt. 693
Rodriguezbury, PA 90507",N,miles
41,Regina Craig,530-71-9629,"377 Spencer Turnpike Apt. 641
Port Jeff, LA 05013",N,hours
42,Mr. Peter Conrad MD,422-41-6310,"3519 Elizabeth Lodge Suite 657
New Jorgetown, CO 75134",N,hours
43,Matthew Garcia,603-13-2849,"1307 James Route
Kelleytown, WY 85096",N,hours
44,Monica Jenkins,674-31-9148,"6009 Crystal Fort Apt. 423
South Jennifer, TX 73097",Y,hours
45,Mary Fitzgerald,171-46-3766,"06509 Max Canyon
Justinmouth, KS 93264",N,miles
46,David White,321-96-6107,"1819 Michael Burg
Lake Theresa, GA 08249",N,hours
47,Nicholas Robertson,112-27-8552,"04233 Bartlett Throughway
New Joy, SD 97363",Y,miles
48,Kelly Crawford,391-08-9277,"Unit 5050 Box 2342
DPO AE 29754",Y,hours
49,Jamie Sanchez,088-17-2867,"379 Cody Street Suite 573
Jodiview, AS 87207",Y,miles
50,Kristen Smith,687-72-7740,"PSC 4742, Box 2785
APO AP 61673",N,miles
51,Melissa Nelson,151-72-0040,"86289 Felicia Ports Suite 814
Shawnmouth, DE 01883",N,hours
52,John Wells,367-63-8868,"412 Robbins Tunnel Apt. 888
South Vanessatown, VT 63255",Y,miles
53,Benjamin Ibarra,441-58-4271,"7933 Weaver Route Apt. 862
South Gloriastad, UT 70348",Y,hours
54,Charles Cross,668-78-3185,"153 Jessica Fall Apt. 924
East Jacobstad, VI 60030",N,hours
55,Dustin Hodge,116-87-8938,"561 Smith Vista
Youngfort, MA 22257",Y,hours
